Unidade Curricular,Área Científica,Departamento
Algoritmos e Estruturas de Dados,EI-SI,DEI
Análise Matemática,CB,DMAT
Bases de Dados,CE,DEI
Centros de Processamento de Dados,EI-TIC,DEI
Desenvolvimento de Aplicações Distribuídas,EI-TIC,DEI
Desenvolvimento de Aplicações Empresariais,EI-SI,DEI
Física Aplicada,CB,DEE
Integração de Sistemas,EI-SI,DEI
Programação Avançada,EI-SI,DEI
Programação I,CE,DEI
Redes de Computadores,CE,DEI
Segurança de Sistemas,EI-TIC,DEI
Sistemas Computacionais,CE,DEI
Sistemas de Apoio à Decisão,EI-SI,DEI
Sistemas Gráficos e Interação,EI-TIC,DEI
Tópicos Avançados de Engenharia de Software,EI-SI,DEI
Tópicos Avançados de Redes,EI-TIC,DEI
Álgebra Linear,CB,DMAT
